,exp_name,env_name,seed,metric,env_step,value
0,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,0,-85.4144
1,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,50000,514.2384
2,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,100000,5383.631
3,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,150000,6042.0735
4,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,200000,6307.3996
5,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,250000,6105.9859
6,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,300000,6005.0673
7,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,350000,6444.3434
8,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,400000,6601.2307
9,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,450000,6538.6115
10,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,500000,7040.3241
11,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,550000,6738.1276
12,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,600000,7187.2333
13,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,650000,6999.8946
14,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,700000,7241.654
15,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,750000,7146.4141
16,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,800000,7331.4992
17,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,850000,7267.3555
18,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,900000,7120.8611
19,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,950000,7285.0834
20,WarpSAC w/ Norm OFF,Ant-v4,1,avg_return,1000000,7398.3428
21,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,0,0.0
22,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,50000,0.0
23,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,100000,0.0
24,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,150000,0.0
25,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,200000,0.0
26,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,250000,0.0
27,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,300000,0.0
28,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,350000,0.0
29,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,400000,0.0
30,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,450000,0.0
31,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,500000,0.0
32,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,550000,0.0
33,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,600000,0.0
34,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,650000,0.0
35,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,700000,0.0
36,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,750000,0.0
37,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,800000,0.0
38,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,850000,0.0
39,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,900000,0.0
40,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,950000,0.0
41,WarpSAC w/ Norm OFF,Ant-v4,1,avg_success,1000000,0.0
42,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,0,-77.6317
43,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,50000,259.2411
44,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,100000,1639.687
45,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,150000,3532.7178
46,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,200000,5142.4718
47,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,250000,5606.0256
48,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,300000,5250.7342
49,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,350000,6118.6757
50,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,400000,6124.6996
51,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,450000,6196.2753
52,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,500000,6591.6805
53,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,550000,6683.9561
54,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,600000,6389.7557
55,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,650000,6861.4142
56,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,700000,6860.8162
57,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,750000,7154.0469
58,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,800000,6953.6118
59,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,850000,7273.5915
60,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,900000,7102.6966
61,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,950000,7088.9499
62,WarpSAC w/ Norm OFF,Ant-v4,2,avg_return,1000000,7367.9071
63,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,0,0.0
64,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,50000,0.0
65,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,100000,0.0
66,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,150000,0.0
67,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,200000,0.0
68,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,250000,0.0
69,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,300000,0.0
70,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,350000,0.0
71,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,400000,0.0
72,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,450000,0.0
73,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,500000,0.0
74,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,550000,0.0
75,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,600000,0.0
76,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,650000,0.0
77,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,700000,0.0
78,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,750000,0.0
79,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,800000,0.0
80,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,850000,0.0
81,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,900000,0.0
82,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,950000,0.0
83,WarpSAC w/ Norm OFF,Ant-v4,2,avg_success,1000000,0.0
84,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,0,-17.4512
85,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,50000,369.8562
86,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,100000,606.5346
87,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,150000,2237.7036
88,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,200000,4627.2276
89,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,250000,4671.0504
90,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,300000,5779.1795
91,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,350000,5991.2428
92,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,400000,5680.0057
93,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,450000,5767.4958
94,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,500000,6595.2667
95,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,550000,6628.4929
96,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,600000,6621.5612
97,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,650000,6847.6516
98,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,700000,6770.8611
99,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,750000,6944.9838
100,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,800000,6633.8894
101,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,850000,6987.6472
102,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,900000,7078.0442
103,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,950000,7096.2737
104,WarpSAC w/ Norm OFF,Ant-v4,3,avg_return,1000000,7163.2359
105,WarpSAC w/ Norm OFF,Ant-v4,3,avg_success,0,0.0
106,WarpSAC w/ Norm OFF,Ant-v4,3,avg_success,50000,0.0
107,WarpSAC w/ Norm OFF,Ant-v4,3,avg_success,100000,0.0
